feature,importance
draft_pick_overall,0.4330701331469385
weight_lbs,0.12217406661699882
college_games_played,0.11888165880441971
career_yards,0.09767778775972004
career_touchdowns,0.09568193657118808
height_inches,0.07686029830385661
age_on_draft_day,0.033478470960044346
position_RB,0.013586812722026925
position_WR,0.004944044745824623
position_TE,0.002635720464316096
position_QB,0.001009069904666163
