player_name,season,position,rookie_total_ppr_points,fantasy_relevant_binary,PC1,PC2,cluster
Sam Darnold,2018,QB,214.1,0.0,1.43815959238161,-1.115089073272395,1
Josh Allen,2018,QB,297.6,0.0,1.3765192575734122,-1.84267987491372,2
Josh Rosen,2018,QB,120.2,0.0,0.4518892405717399,-1.5388403859258903,2
D.J. Moore,2018,WR,173.8,0.0,-1.7924109643767665,-0.11548576237244412,0
Hayden Hurst,2018,TE,33.3,0.0,-0.11990037393579439,-1.0928970695235736,2
Calvin Ridley,2018,WR,218.1,1.0,-1.4424956082075562,1.2659398552207939,0
Rashaad Penny,2018,RB,92.7,0.0,-0.7182141750923523,1.5608346767572623,0
Sony Michel,2018,RB,209.1,1.0,-0.871863781050192,1.5198684958604527,0
Lamar Jackson,2018,QB,166.1,0.0,0.678920531747351,1.0200011685135806,1
Kyler Murray,2019,QB,335.3,1.0,0.36241818507536727,0.4053037115697513,0
Daniel Jones,2019,QB,298.1,0.0,2.0346124605684,-0.7976993961333487,1
T.J. Hockenson,2019,TE,131.7,1.0,-0.06201609447158315,-2.997368605249794,2
Dwayne Haskins,2019,QB,93.0,0.0,1.0843538385262599,-1.488443288014952,2
Noah Fant,2019,TE,149.2,0.0,-0.5027479401342616,-2.2144796439850576,2
Josh Jacobs,2019,RB,242.6,1.0,-1.8051127942922343,0.27556393572342447,0
Marquise Brown,2019,WR,170.4,0.0,-2.5540330000613003,1.010234609444393,0
N'Keal Harry,2019,WR,25.5,0.0,-1.0964217510174505,-0.9420093745976448,2
Joe Burrow,2020,QB,178.7,0.0,2.682266482618033,0.4348983945788397,1
Tua Tagovailoa,2020,QB,153.3,0.0,2.006187226632613,0.22913996141792065,1
Justin Herbert,2020,QB,395.1,1.0,3.5538551497579185,-0.01801767634438677,1
Henry Ruggs-III,2020,WR,86.2,0.0,-1.655338516123028,0.5523162672055661,0
Jerry Jeudy,2020,WR,221.6,1.0,-1.3276361652055246,0.44765759758602924,0
CeeDee Lamb,2020,WR,233.7,1.0,-0.9826585472025214,0.21043791308158363,0
Jalen Reagor,2020,WR,88.6,0.0,-1.9328780037162117,0.6293537739844755,0
Justin Jefferson,2020,WR,274.2,1.0,-1.7124507067313475,0.04877948827912595,0
Brandon Aiyuk,2020,WR,214.0,1.0,-2.0961798897863466,-0.3358815266421904,0
Jordan Love,2020,QB,0.0,0.0,1.1088537088411796,0.032231911385824534,1
Clyde Edwards-Helaire,2020,RB,181.8,1.0,-2.4827135051164397,1.4790951125830505,0
Trevor Lawrence,2021,QB,275.7,0.0,3.0365410671310396,-0.24672777579237679,1
Zach Wilson,2021,QB,185.9,0.0,1.4530513094710298,-0.2246836717799543,1
Trey Lance,2021,QB,69.0,0.0,0.23064313132704037,-2.4966955435739075,2
Kyle Pitts,2021,TE,176.6,1.0,0.09127865137811092,-3.285009617486519,2
Ja'Marr Chase,2021,WR,304.6,1.0,-1.3492494460218543,-0.6240790191073401,0
Jaylen Waddle,2021,WR,245.8,1.0,-1.7407444533362384,0.7359080423238636,0
